name,url,query,sites,review_bucket,final_assessment,recommended_action,rationale
Reuters World,https://news.google.com/rss/search?q=site:reuters.com+world&hl=en-US&gl=US&ceid=US:en,site:reuters.com world,reuters.com,wire_domain_scoped_query,medium_high,keep_primary_or_replace_with_direct,Wire 도메인에 site: 제한됨. 신뢰도는 상대적으로 높지만 가능하면 직접 RSS가 우선.
AP News,https://news.google.com/rss/search?q=site:apnews.com&hl=en-US&gl=US&ceid=US:en,site:apnews.com,apnews.com,wire_domain_scoped_query,medium_high,keep_primary_or_replace_with_direct,Wire 도메인에 site: 제한됨. 신뢰도는 상대적으로 높지만 가능하면 직접 RSS가 우선.
Reuters Business,https://news.google.com/rss/search?q=site:reuters.com+business+markets&hl=en-US&gl=US&ceid=US:en,site:reuters.com business markets,reuters.com,wire_domain_scoped_query,medium_high,keep_primary_or_replace_with_direct,Wire 도메인에 site: 제한됨. 신뢰도는 상대적으로 높지만 가능하면 직접 RSS가 우선.
Treasury,"https://news.google.com/rss/search?q=site:treasury.gov+OR+""Treasury+Department""&hl=en-US&gl=US&ceid=US:en","site:treasury.gov OR ""Treasury Department""",treasury.gov,official_via_google_query,medium,keep_secondary,"Official 기관 도메인에 site: 제한이 걸려 있어 출처 일관성은 높지만, Google 집계층이므로 보조 채널로 권장."
Oil and Gas,https://news.google.com/rss/search?q=(oil+price+OR+OPEC+OR+natural+gas+OR+pipeline+OR+LNG)+when:2d&hl=en-US&gl=US&ceid=US:en,(oil price OR OPEC OR natural gas OR pipeline OR LNG) when:2d,,broad_topic_query_feed,mixed,exploratory_off_by_default,범용 키워드 집계형 쿼리로 결과 품질 편차가 큼. 탐색용으로만 사용 권장.
Mining and Resources,https://news.google.com/rss/search?q=(lithium+OR+rare+earth+OR+cobalt+OR+mining)+when:3d&hl=en-US&gl=US&ceid=US:en,(lithium OR rare earth OR cobalt OR mining) when:3d,,broad_topic_query_feed,mixed,exploratory_off_by_default,범용 키워드 집계형 쿼리로 결과 품질 편차가 큼. 탐색용으로만 사용 권장.
White House,https://news.google.com/rss/search?q=site:whitehouse.gov&hl=en-US&gl=US&ceid=US:en,site:whitehouse.gov,whitehouse.gov,official_via_google_query,medium,keep_secondary,"Official 기관 도메인에 site: 제한이 걸려 있어 출처 일관성은 높지만, Google 집계층이므로 보조 채널로 권장."
State Department,"https://news.google.com/rss/search?q=site:state.gov+OR+""State+Department""&hl=en-US&gl=US&ceid=US:en","site:state.gov OR ""State Department""",state.gov,official_via_google_query,medium,keep_secondary,"Official 기관 도메인에 site: 제한이 걸려 있어 출처 일관성은 높지만, Google 집계층이므로 보조 채널로 권장."
Pentagon,https://news.google.com/rss/search?q=site:defense.gov+OR+Pentagon&hl=en-US&gl=US&ceid=US:en,site:defense.gov OR Pentagon,defense.gov,official_via_google_query,medium,keep_secondary,"Official 기관 도메인에 site: 제한이 걸려 있어 출처 일관성은 높지만, Google 집계층이므로 보조 채널로 권장."
DOJ,https://news.google.com/rss/search?q=site:justice.gov+OR+DOJ&hl=en-US&gl=US&ceid=US:en,site:justice.gov OR DOJ,justice.gov,official_via_google_query,medium,keep_secondary,"Official 기관 도메인에 site: 제한이 걸려 있어 출처 일관성은 높지만, Google 집계층이므로 보조 채널로 권장."
