name,tier,beat,country,url,source_type,reliability_tier,confidence,rationale
"BBC World","1","world","UK","https://feeds.bbci.co.uk/news/world/rss.xml","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Reuters World","1","world","US","https://news.google.com/rss/search?q=site:reuters.com+world&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"AP News","1","world","US","https://news.google.com/rss/search?q=site:apnews.com&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"The Guardian World","2","world","UK","https://www.theguardian.com/world/rss","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"NPR News","2","world","US","https://feeds.npr.org/1001/rss.xml","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Al Jazeera","2","world","QA","https://www.aljazeera.com/xml/rss/all.xml","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"CNN World","2","world","US","http://rss.cnn.com/rss/cnn_world.rss","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Politico Picks","2","politics","US","https://www.politico.com/rss/politicopicks.xml","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"The Diplomat","2","politics","US","https://thediplomat.com/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Foreign Policy","2","politics","US","https://foreignpolicy.com/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Foreign Affairs","2","politics","US","https://www.foreignaffairs.com/rss.xml","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Atlantic Council","3","politics","US","https://www.atlanticcouncil.org/feed/","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Bloomberg Markets","1","business","US","https://feeds.bloomberg.com/markets/news.rss","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Financial Times","1","business","UK","https://www.ft.com/world?format=rss","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"WSJ World","1","business","US","https://feeds.a.dj.com/rss/RSSWorldNews.xml","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Reuters Business","1","business","US","https://news.google.com/rss/search?q=site:reuters.com+business+markets&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"CNBC","2","business","US","https://www.cnbc.com/id/100003114/device/rss/rss.html","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"MarketWatch","2","business","US","https://feeds.marketwatch.com/marketwatch/topstories","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Yahoo Finance","2","business","US","https://finance.yahoo.com/news/rssindex","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Federal Reserve","2","business","US","https://www.federalreserve.gov/feeds/press_all.xml","official_institution","official_primary","high","Official institution source: authoritative for announcements/data, but not independent journalism."
"SEC","2","business","US","https://www.sec.gov/news/pressreleases.rss","official_institution","official_primary","high","Official institution source: authoritative for announcements/data, but not independent journalism."
"Treasury","2","business","US","https://news.google.com/rss/search?q=site:treasury.gov+OR+""Treasury+Department""&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"Oil and Gas","3","business","US","https://news.google.com/rss/search?q=(oil+price+OR+OPEC+OR+natural+gas+OR+pipeline+OR+LNG)+when:2d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"Mining and Resources","3","business","US","https://news.google.com/rss/search?q=(lithium+OR+rare+earth+OR+cobalt+OR+mining)+when:3d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"Politico","2","politics","US","https://www.politico.com/rss/politicopicks.xml","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"White House","1","politics","US","https://news.google.com/rss/search?q=site:whitehouse.gov&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"State Department","1","politics","US","https://news.google.com/rss/search?q=site:state.gov+OR+""State+Department""&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"Pentagon","1","security","US","https://news.google.com/rss/search?q=site:defense.gov+OR+Pentagon&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"DOJ","2","politics","US","https://news.google.com/rss/search?q=site:justice.gov+OR+DOJ&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"DHS","2","security","US","https://news.google.com/rss/search?q=site:dhs.gov+OR+""Homeland+Security""&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"UN News","1","world","UN","https://news.un.org/feed/subscribe/en/news/all/rss.xml","official_institution","official_primary","high","Official institution source: authoritative for announcements/data, but not independent journalism."
"WHO News","1","world","UN","https://www.who.int/rss-feeds/news-english.xml","official_institution","official_primary","high","Official institution source: authoritative for announcements/data, but not independent journalism."
"IAEA","1","security","UN","https://www.iaea.org/feeds/topnews","official_institution","official_primary","high","Official institution source: authoritative for announcements/data, but not independent journalism."
"Crisis Group","3","politics","INT","https://www.crisisgroup.org/rss","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Brookings","3","politics","US","https://news.google.com/rss/search?q=site:brookings.edu+when:7d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"CSIS","3","security","US","https://news.google.com/rss/search?q=site:csis.org+when:7d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"TechCrunch","2","tech","US","https://techcrunch.com/feed/","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"The Verge","2","tech","US","https://www.theverge.com/rss/index.xml","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Ars Technica","2","tech","US","https://feeds.arstechnica.com/arstechnica/technology-lab","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"Hacker News","3","tech","US","https://hnrss.org/frontpage","community_aggregator","mixed","high","User-submitted aggregator; use as discovery source and verify linked reporting."
"MIT Tech Review","2","tech","US","https://www.technologyreview.com/feed/","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"ZDNet","3","tech","US","https://www.zdnet.com/news/rss.xml","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"TechMeme","3","tech","US","https://www.techmeme.com/feed.xml","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"Engadget","3","tech","US","https://www.engadget.com/rss.xml","specialized_or_analysis","medium","medium","Specialized outlet/analysis source with variable rigor by topic; cross-source validation recommended."
"AI News","3","tech","US","https://news.google.com/rss/search?q=(OpenAI+OR+Anthropic+OR+Google+AI+OR+ChatGPT+OR+Claude)+when:2d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"VentureBeat AI","3","tech","US","https://venturebeat.com/category/ai/feed/","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"MIT Research","3","tech","US","https://news.mit.edu/rss/research","newsroom_direct_rss","high","medium","Established newsroom with explicit editorial process and corrections workflow."
"ArXiv AI","3","tech","US","https://export.arxiv.org/rss/cs.AI","research_preprint_feed","contextual","high","Preprint feed provides strong technical signal; not all papers are peer-reviewed."
"ArXiv ML","3","tech","US","https://export.arxiv.org/rss/cs.LG","research_preprint_feed","contextual","high","Preprint feed provides strong technical signal; not all papers are peer-reviewed."
"Anthropic News","3","tech","US","https://news.google.com/rss/search?q=Anthropic+Claude+AI+when:7d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
"OpenAI News","3","tech","US","https://news.google.com/rss/search?q=OpenAI+ChatGPT+GPT-4+when:7d&hl=en-US&gl=US&ceid=US:en","aggregated_query_feed","needs_review","medium","Google News query feed aggregates multiple publishers; reliability depends on underlying returned articles."
